Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
CompTIA Skills Builder,Female,2020,2020-04-15,May,VRRAP,2020-05-02,2020-05-18,2020-12-28,Training Completed,VRRAP,AM,6048.52,Admitted,6048.52,No,,,MA,,,Course Completion certificate,Veteran Affairs,2019,2020,224,33,1,0
Test,Male,2022,2022-10-26,November,Section 30,2022-11-05,2022-11-21,2023-02-13,Training Completed,Don't know,RJ,5112.51,Admitted,5112.51,Yes,"$25,000-$49,999",Cloud Support Specialist,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2022,2022,84,26,1,1
Kubernetes with Cloud and Data Science,Female,2018,2018-03-07,April,WIOA - FL,2018-04-04,2018-04-16,2018-09-03,Training Completed,SEO,AD,8555.54,Admitted,8555.54,No,,,FL,,,Course Completion certificate,Orlando Career Center,2017,2018,140,40,1,0
Data Analytics,Female,2022,2022-04-26,May,WIOA - MA,2022-05-07,2022-05-16,2022-10-31,Training Completed,Career Center Reference - Phone,ML,5466.25,Admitted,5466.25,,,,MA,,,Course Completion certificate,Worcester Career Center,2021,2022,168,20,1,0
Salesforce Admin and Developer,Male,2023,2023-03-18,April,WIOA - MA,2023-04-13,2023-05-01,2023-07-24,Training Completed,Don't know,CB,5622.38,Done with training,5622.38,No,,,MA,,,Course Completion certificate,Medford Career Center,2022,2023,84,44,1,0
Data Science with Tableau,Female,2024,2024-03-24,April,WIOA - OH,2024-04-08,2024-04-15,2024-08-05,Training Completed,Masshire Website,JW,6340.49,Admitted,6340.49,Yes,"$50,000-$74,999",QA Tester,OH,Evergreen Analytics,,Course Completion certificate,Cleveland Career Center,2023,2024,112,22,1,1
Data Science with Mobile Development,Male,2023,2023-03-09,April,WIOA - VA,2023-04-04,2023-05-01,2023-12-11,Training Completed,NSCITE,TP,5058.26,Done with training,5058.26,,,,VA,,,Course Completion certificate,Norfolk Career Center,2022,2023,224,53,1,0
AI with Azure,Female,2019,2019-01-13,February,WIOA - PA,2019-02-06,2019-02-18,2019-08-05,Training Completed,Phone call,CB,6077.79,Admitted,6077.79,Yes,"$100,000-$124,999",QA Tester,PA,Vertex Consulting,,Course Completion certificate,Philadelphia Career Center,2018,2019,168,36,1,1
Advance Entrepreneur Kit (Excel as an Entrepreneur)/MS Office with Salesforce Admin,Female,2026,2026-08-04,August,WIOA - VA,2026-08-18,2026-09-07,2026-12-14,Dropped Out,Phone call,JW,6870.77,Admitted,6870.77,Yes,"$75,000-$99,999",Data Analyst,VA,Harbor Systems,,Course Completion certificate,Norfolk Career Center,2026,2026,98,34,0,1
Data Analytics with Automation QA,Male,2025,2025-06-27,July,WIOA - MA,2025-07-04,2025-07-21,2025-10-13,Training Completed,Don't know,RJ,5511.27,Admitted,5511.27,,,,MA,,,Course Completion certificate,Boston Career Center,2025,2025,84,24,1,0
Data Analytics,Male,2020,2020-04-13,April,WIOA - VA,2020-04-26,2020-05-18,2020-11-02,Training Completed,Friend's Reference,CB,5466.25,Done with training,5466.25,,,,VA,,,Course Completion certificate,Richmond Career Center,2019,2020,168,35,1,0
AWS and Kubernetes with Certification course,Male,2016,2016-10-19,November,WIOA - OH,2016-11-08,2016-12-05,2017-02-27,Training Completed,Phone call,ML,6082.28,Admitted,6082.28,Yes,"$125,000-$149,999",QA Tester,OH,Summit Cloud Services,,Course Completion certificate,Cleveland Career Center,2016,2016,84,47,1,1
Web Development Foundations,Male,2021,2021-11-07,November,MRC,2021-11-22,2021-12-20,2022-04-11,Dropped Out,Career Center Reference - Email,CB,6218.35,Admitted,6218.35,Yes,"$125,000-$149,999",Data Analyst,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2021,2021,112,43,0,1
Java Development with Cloud Computing,Female,2025,2025-04-03,April,WIOA - MA,2025-04-15,2025-04-21,2025-07-28,Training Completed,Career Center Reference - Email,JW,6441.44,Admitted,6441.44,Yes,"$125,000-$149,999",Software Developer,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2024,2025,98,18,1,1
Salesforce Admin and Developer,Male,2024,2024-10-25,November,WIOA - VA,2024-11-14,2024-12-02,2025-02-24,Dropped Out,Masshire Website,ML,5622.38,Admitted,5622.38,Yes,"$75,000-$99,999",Software Developer,VA,Blue River Solutions,,"cert 2,Course Completion certificate",Richmond Career Center,2024,2024,84,38,0,1
Advanced Data Analytics,Female,2025,2025-07-31,August,WIOA - OH,2025-08-07,2025-08-18,2025-12-08,Training Completed,Phone call,RJ,5811.89,Training completed,5811.89,,,,OH,,,Course Completion certificate,Cleveland Career Center,2025,2025,112,18,1,0
 Cybersecurity with Cloud Technologies,Female,2026,2026-04-23,April,WIOA - MA,2026-04-30,2026-05-18,2026-07-13,Training Completed,Masshire Website,TP,8012.87,Admitted,8012.87,No,,,MA,,,Course Completion certificate,Medford Career Center,2025,2026,56,25,1,0
Data Science with Programming Tools,Female,2023,2023-09-19,October,WIOA - FL,2023-10-12,2023-11-06,2024-01-15,Training Completed,Masshire Website,ML,4823.81,Admitted,4823.81,Yes,"$50,000-$74,999",QA Tester,FL,Northstar Technology,,Course Completion certificate,Miami Career Center,2023,2023,70,48,1,1
CompTIA-Security analyst,Male,2018,2018-02-23,March,WIOA - MA,2018-03-02,2018-03-05,2018-06-11,Dropped Out,Masshire Website,AD,5294.83,Done with training,5294.83,,,,MA,,,Course Completion certificate,Worcester Career Center,2017,2017,98,10,0,0
OLD 2022_Automation Testing with AWS DevOps,Female,2016,2016-11-15,November,WIOA - NH,2016-11-24,2016-12-05,2017-07-17,Training Completed,Masshire Website,JW,7025.29,Admitted,7025.29,No,,,NH,,,Course Completion certificate,Manchester Career Center,2016,2017,224,20,1,0
CompTIA Skills Builder,Female,2018,2018-01-14,February,WIOA - FL,2018-02-11,2018-02-19,2018-10-01,Training Completed,Career Center Reference - Email,AD,6048.52,Admitted,6048.52,Yes,"$25,000-$49,999",Technical Support Specialist,FL,Northstar Technology,,Course Completion certificate,Orlando Career Center,2017,2018,224,36,1,1
BI Analytics,Female,2018,2018-07-16,August,WIOA - MA,2018-08-09,2018-08-20,2018-12-10,Training Completed,Masshire Website,TP,6036.06,Admitted,6036.06,,,,MA,,,cert 2,Boston Career Center,2018,2018,112,35,1,0
Python with AI,Male,2017,2017-02-15,March,WIOA - MA,2017-03-08,2017-03-20,2017-06-12,Training Completed,Phone call,AM,6172.48,Admitted,6172.48,,,,MA,,,Course Completion certificate,Worcester Career Center,2016,2016,84,33,1,0
AI with Azure,Female,2021,2021-02-02,February,WIOA - NY,2021-02-20,2021-03-01,2021-08-16,Training Completed,Career Center Reference - Phone,TP,6077.79,Done with training,6077.79,Yes,"$75,000-$99,999",Web Developer,NY,Harbor Systems,,Course Completion certificate,New York Career Center,2020,2021,168,27,1,1
Salesforce with Data Science,Male,2024,2024-06-06,June,MRC,2024-06-17,2024-07-01,2024-10-21,Training Completed,Masshire Website,RJ,6442.0,Admitted,6442.0,Yes,"$75,000-$99,999",QA Tester,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2024,2024,112,25,1,1
Data Analytics with Automation QA,Female,2016,2016-07-19,July,WIOA - PA,2016-07-30,2016-08-15,2016-11-07,Dropped Out,Phone call,ML,5511.27,Admitted,5511.27,Yes,"$75,000-$99,999",SQL Developer,PA,Blue River Solutions,,Course Completion certificate,Pittsburgh Career Center,2016,2016,84,27,0,1
Data Scientist,Male,2024,2024-08-18,September,WIOA - CT,2024-09-07,2024-09-16,2025-03-03,Training Completed,Career Center Reference - Phone,TP,6049.18,Admitted,6049.18,,,,CT,,,Course Completion certificate,Hartford Career Center,2024,2024,168,29,1,0
CompTIA-Security analyst,Female,2025,2025-11-11,December,WIOA - VA,2025-12-06,2025-12-15,2026-03-23,Dropped Out,Career Center Reference - Email,AD,5294.83,Admitted,5294.83,No,,,VA,,,Course Completion certificate,Norfolk Career Center,2025,2025,98,34,0,0
Data Analytics,Male,2018,2018-01-16,January,WIOA - OH,2018-01-24,2018-02-19,2018-08-06,Training Completed,Don't know,AD,5466.25,Admitted,5466.25,Yes,"$50,000-$74,999",QA Tester,OH,Pioneer Digital,,Course Completion certificate,Columbus Career Center,2017,2018,168,34,1,1
OLD Student,Female,2016,2016-09-20,October,WIOA - PA,2016-10-01,2016-10-17,2017-03-06,Training Completed,Phone call,AD,6330.29,Admitted,6330.29,Yes,"$100,000-$124,999",Data Analyst,PA,Evergreen Analytics,,Course Completion certificate,Philadelphia Career Center,2016,2016,140,27,1,1
Data Analytics with Automation QA,Female,2021,2021-05-09,May,WIOA - VA,2021-05-16,2021-06-07,2021-08-30,Training Completed,NSCITE,CB,5511.27,Admitted,5511.27,Yes,"$25,000-$49,999",Business Analyst,VA,Vertex Consulting,,Course Completion certificate,Norfolk Career Center,2020,2021,84,29,1,1
Salesforce Admin and Developer,Female,2025,2025-04-15,May,WIOA - FL,2025-05-02,2025-05-05,2025-07-28,Training Completed,NJ Portal,ML,5622.38,Admitted,5622.38,Yes,"$25,000-$49,999",Web Developer,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2024,2025,84,20,1,1
Data Science with Reporting Tools,Female,2024,2023-12-16,January,WIOA - MA,2024-01-11,2024-01-15,2024-04-08,Training Completed,Phone call,CB,5490.32,Admitted,5490.32,No,,,MA,,,Course Completion certificate,Boston Career Center,2023,2023,84,30,1,0
Quality Assurance Analyst 2,Female,2016,2016-11-09,November,WIOA - OH,2016-11-25,2016-12-05,2017-05-22,Training Completed,Career Center Reference - Email,TP,6082.94,Admitted,6082.94,Yes,"$25,000-$49,999",SQL Developer,OH,Vertex Consulting,,Course Completion certificate,Cleveland Career Center,2016,2016,168,26,1,1
CompTIA-Cybersecurity Specialist,Female,2023,2023-04-25,May,VRRAP,2023-05-23,2023-06-05,2023-08-28,Training Completed,VRRAP,CB,6644.76,Admitted,6644.76,No,,,MA,,,Course Completion certificate,Veteran Affairs,2022,2023,84,41,1,0
Automation Testing,Male,2024,2024-10-09,October,WIOA - MA,2024-10-20,2024-11-04,2025-02-24,Training Completed,Masshire Website,AM,10180.63,Admitted,10180.63,Yes,"$25,000-$49,999",QA Tester,MA,Harbor Systems,,Course Completion certificate,Worcester Career Center,2024,2024,112,26,1,1
"Web, Mobile and Digital Marketing",Male,2019,2019-03-31,April,WIOA - NY,2019-04-24,2019-05-20,2019-08-12,Training Completed,Masshire Website,JW,5648.08,Admitted,5648.08,No,,,NY,,,Course Completion certificate,New York Career Center,2018,2019,84,50,1,0
Data Scientist,Female,2023,2023-02-11,February,WIOA - MA,2023-02-23,2023-03-20,2023-09-04,Training Completed,Masshire Website,ML,6049.18,Training completed,6049.18,Yes,"$75,000-$99,999",SQL Developer,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2022,2023,168,37,1,1
Python Development with Microsoft Certification,Female,2021,2021-07-02,July,Trade - MA,2021-07-29,2021-08-16,2021-12-06,Training Completed,Masshire Website,TP,6747.92,Dropped Out,6747.92,No,,,MA,,,Course Completion certificate,Worcester Career Center,2021,2021,112,45,1,0
Salesforce Admin with Digital Marketing_Package-5980,Female,2018,2018-08-02,August,WIOA - NY,2018-08-16,2018-09-03,2018-12-10,Training Completed,Masshire Website,CB,6050.42,Done with training,6050.42,Yes,"$75,000-$99,999",SQL Developer,NY,Evergreen Analytics,,Course Completion certificate,New York Career Center,2018,2018,98,32,1,1
CompTIA-Cybersecurity Specialist,Female,2025,2025-08-15,September,MRC,2025-09-05,2025-09-15,2025-12-08,Training Completed,Masshire Website,AD,6644.76,Admitted,6644.76,Yes,"$125,000-$149,999",SQL Developer,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2025,2025,84,31,1,1
Automation Quality Assurance,Female,2018,2018-10-05,October,WIOA - PA,2018-10-18,2018-11-05,2019-01-14,Training Completed,Phone call,ML,8614.77,Done with training,8614.77,Yes,"$100,000-$124,999",Technical Support Specialist,PA,Pioneer Digital,,Course Completion certificate,Pittsburgh Career Center,2018,2018,70,31,1,1
Web Development with AWS DevOps,Female,2025,2025-01-01,January,WIOA - CT,2025-01-14,2025-02-03,2025-04-28,Training Completed,Career Center Reference - Email,AM,5924.41,Admitted,5924.41,Yes,"$125,000-$149,999",Web Developer,CT,Vertex Consulting,,Course Schedule,Hartford Career Center,2024,2024,84,33,1,1
OLD Student,Female,2023,2023-08-08,August,WIOA - FL,2023-08-25,2023-09-18,2024-02-05,Training Completed,Don't know,AD,6330.29,Admitted,6330.29,Yes,"$25,000-$49,999",SQL Developer,FL,Summit Cloud Services,,Course Completion certificate,Miami Career Center,2023,2023,140,41,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2018,2018-09-27,October,VRRAP,2018-10-12,2018-11-05,2019-01-28,Training Completed,Career Center Reference - Phone,AD,6315.31,Admitted,6315.31,Yes,"$125,000-$149,999",Software Developer,ME,Summit Cloud Services,,Course Completion certificate,Veteran Affairs,2018,2018,84,39,1,1
Salesforce Admin with Tableau,Male,2023,2023-09-12,October,VRRAP,2023-10-06,2023-10-16,2024-01-22,Dropped Out,Phone call,JW,5432.88,Admitted,5432.88,Yes,"$50,000-$74,999",Cloud Support Specialist,CA,Summit Cloud Services,,Course Completion certificate,Veteran Affairs,2023,2023,98,34,0,1
VA,Male,2016,2016-10-08,November,VRRAP,2016-11-03,2016-11-21,2017-02-13,Training Completed,VRRAP,RJ,6413.34,Admitted,6413.34,No,,,MA,,,Course Completion certificate,Veteran Affairs,2016,2016,84,44,1,0
Cybersecurity,Female,2018,2018-11-23,December,WIOA - NY,2018-12-14,2018-12-17,2019-03-11,Training Completed,Phone call,TP,5304.53,Done with training,5304.53,Yes,"$50,000-$74,999",Data Analyst,NY,Blue River Solutions,,Course Completion certificate,Albany Career Center,2018,2018,84,24,1,1
Salesforce Admin with Agile,Male,2019,2019-05-24,June,WIOA - MA,2019-06-05,2019-06-17,2019-09-23,Training Completed,Phone call,TP,5544.57,Training completed,5544.57,Yes,"$75,000-$99,999",QA Tester,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2018,2019,98,24,1,1
Front end Web Development,Female,2025,2025-06-30,July,WIOA - NH,2025-07-22,2025-08-04,2025-12-22,Training Completed,SEO,ML,5949.31,Admitted,5949.31,No,,,NH,,,Course Completion certificate,Manchester Career Center,2025,2025,140,35,1,0
Python with AI,Female,2025,2025-10-05,October,MRC,2025-10-12,2025-10-20,2026-01-12,Training Completed,Don't know,AD,6172.48,Done with training,6172.48,,,,MA,,,Course Completion certificate,Worcester Career Center,2025,2025,84,15,1,0
CompTIA-IT Support Specialist,Male,2019,2019-03-31,April,WIOA - ME,2019-04-08,2019-04-15,2019-08-05,Training Completed,Don't know,TP,5385.96,Admitted,5385.96,No,,,ME,,,Course Completion certificate,Augusta Career Center,2018,2019,112,15,1,0
Python with AI,Female,2021,2021-04-21,May,WIOA - MA,2021-05-08,2021-05-17,2021-08-09,Training Completed,Masshire Website,ML,6172.48,Admitted,6172.48,Yes,"$75,000-$99,999",Web Developer,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2020,2021,84,26,1,1
Data Science with AWS DevOps,Female,2026,2026-06-07,June,WIOA - NH,2026-06-19,2026-07-06,2026-09-28,Dropped Out,Maryland Joblink,JW,9024.26,Admitted,9024.26,Yes,"$25,000-$49,999",SQL Developer,NH,Harbor Systems,,Course Completion certificate,Manchester Career Center,2026,2026,84,29,0,1
AWS and Kubernetes with Certification course,Male,2023,2023-03-29,April,MassAbility,2023-04-26,2023-05-01,2023-07-24,Training Completed,Phone call,AM,6082.28,Dropped Out,6082.28,Yes,"$25,000-$49,999",Data Analyst,MA,Harbor Systems,,Course Completion certificate,Worcester Career Center,2022,2023,84,33,1,1
Advanced Data Analytics,Male,2017,2017-03-18,April,WIOA - NY,2017-04-03,2017-04-17,2017-08-07,Training Completed,Career Center Reference - Email,ML,5811.89,Training completed,5811.89,,,,NY,,,"cert 2,Course Completion certificate",Albany Career Center,2016,2017,112,30,1,0
AWS and Kubernetes with Certification course,Male,2020,2020-06-18,June,WIOA - PA,2020-06-25,2020-07-06,2020-09-28,Training Completed,Career Center Reference - Email,JW,6082.28,Admitted,6082.28,No,,,PA,,,Course Completion certificate,Philadelphia Career Center,2020,2020,84,18,1,0
Microsoft office with Website Design_USA,Female,2020,2020-10-07,October,Section 30,2020-10-19,2020-11-02,2021-02-08,Training Completed,USA Worksource MD,AM,5280.32,Admitted,5280.32,Yes,"$125,000-$149,999",SQL Developer,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2020,2020,98,26,1,1
Test,Female,2019,2019-08-09,August,Section 30,2019-08-20,2019-09-16,2019-12-09,Training Completed,Training,AM,5112.51,Admitted,5112.51,Yes,"$75,000-$99,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2019,2019,84,38,1,1
AWS Solution and DevOps,Male,2021,2021-10-06,October,Section 30,2021-10-21,2021-11-01,2022-02-07,Training Completed,Masshire Website,TP,6336.24,Done with training,6336.24,Yes,"$125,000-$149,999",Business Analyst,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2021,2021,98,26,1,1
AI with Azure,Female,2024,2023-12-13,December,WIOA - NY,2023-12-27,2024-01-15,2024-07-01,Training Completed,Masshire Website,JW,6077.79,Done with training,6077.79,Yes,"$100,000-$124,999",QA Tester,NY,Summit Cloud Services,,Course Completion certificate,New York Career Center,2023,2024,168,33,1,1
Cybersecurity Essentials,Female,2023,2023-07-01,July,WIOA - NY,2023-07-19,2023-08-07,2024-01-22,Dropped Out,USA Worksource MD,AD,6770.6,Admitted,6770.6,Yes,"$25,000-$49,999",Business Analyst,NY,Blue River Solutions,,Course Completion certificate,New York Career Center,2023,2023,168,37,0,1
Data Science with Big Data and Python,Female,2020,2020-01-23,February,VRRAP,2020-02-17,2020-03-16,2020-07-06,Dropped Out,Phone call,CB,7783.2,Admitted,7783.2,Yes,"$50,000-$74,999",Software Developer,GA,Northstar Technology,,Course Completion certificate,Veteran Affairs,2019,2020,112,53,0,1
CompTIA Skills Builder,Male,2024,2023-12-15,January,WIOA - MD,2024-01-02,2024-01-15,2024-08-26,Training Completed,NJ Portal,CB,6048.52,Admitted,6048.52,Yes,"$25,000-$49,999",SQL Developer,MD,Summit Cloud Services,,Course Completion certificate,Maryland Career Center,2023,2024,224,31,1,1
CompTIA Core,Male,2022,2021-11-27,December,MassAbility,2021-12-20,2022-01-17,2022-04-25,Training Completed,Phone call,JW,6806.58,Done with training,6806.58,Yes,"$125,000-$149,999",Software Developer,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2021,2021,98,51,1,1
Digital Marketing with Salesforce(with Laptop),Female,2024,2024-04-14,May,WIOA - NJ,2024-05-06,2024-06-03,2024-08-26,Training Completed,Phone call,AM,6007.83,Admitted,6007.83,,,,NJ,,,Course Completion certificate,Newark Career Center,2023,2024,84,50,1,0
Full Stack Web Development with C# . Net ASP.net,Male,2017,2017-08-28,September,WIOA - OH,2017-09-09,2017-10-02,2017-12-25,Training Completed,Masshire Website,TP,6315.31,Admitted,6315.31,Yes,"$50,000-$74,999",SQL Developer,OH,Northstar Technology,,Course Completion certificate,Columbus Career Center,2017,2017,84,35,1,1
AI with Azure,Female,2020,2020-08-06,August,VRRAP,2020-08-25,2020-09-07,2021-02-22,Dropped Out,Career Counselor reference,RJ,6077.79,Admitted,6077.79,Yes,"$100,000-$124,999",QA Tester,NH,Northstar Technology,,Course Completion certificate,Veteran Affairs,2020,2020,168,32,0,1
CompTIA Skills Builder,Male,2020,2020-06-30,July,WIOA - MA,2020-07-25,2020-08-03,2021-03-15,Training Completed,Masshire Website,ML,6048.52,Admitted,6048.52,Yes,"$75,000-$99,999",Data Analyst,MA,Vertex Consulting,,cert 2,Worcester Career Center,2020,2020,224,34,1,1
Salesforce Admin with Tableau,Female,2020,2020-01-24,February,WIOA - FL,2020-02-11,2020-03-02,2020-06-08,Training Completed,Don't know,JW,5432.88,Admitted,5432.88,Yes,"$100,000-$124,999",Data Analyst,FL,Vertex Consulting,,Course Completion certificate,Orlando Career Center,2019,2019,98,38,1,1
Linux with Cloud Technologies,Female,2023,2023-07-25,August,WIOA - NY,2023-08-09,2023-08-21,2024-04-01,Training Completed,Career Center Reference - Email,AM,5463.46,Admitted,5463.46,Yes,"$75,000-$99,999",Data Analyst,NY,Summit Cloud Services,,Course Completion certificate,Albany Career Center,2023,2023,224,27,1,1
Advance Entrepreneur Kit (Excel as an Entrepreneur)/MS Office with Salesforce Admin,Female,2022,2022-02-20,March,MRC,2022-03-14,2022-04-04,2022-07-11,Training Completed,Phone call,JW,6870.77,Admitted,6870.77,Yes,"$125,000-$149,999",QA Tester,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2021,2022,98,43,1,1
Data Science with Programming Tools,Male,2020,2020-05-29,June,WIOA - MA,2020-06-26,2020-07-06,2020-09-14,Training Completed,Phone call,JW,4823.81,Admitted,4823.81,Yes,"$125,000-$149,999",QA Tester,MA,Vertex Consulting,,Course Completion certificate,Boston Career Center,2020,2020,70,38,1,1
Big data with Python,Male,2022,2021-12-05,December,VRRAP,2021-12-29,2022-01-03,2022-04-25,Training Completed,Masshire Website,AD,6231.63,Dropped Out,6231.63,No,,,FL,,,Course Completion certificate,Veteran Affairs,2021,2021,112,29,1,0
Full Stack Web Development with C# . Net ASP.net,Male,2023,2023-08-18,September,WIOA - NY,2023-09-11,2023-09-18,2023-12-11,Training Completed,Masshire Website,JW,6315.31,Done with training,6315.31,Yes,"$50,000-$74,999",SQL Developer,NY,Northstar Technology,,Course Completion certificate,Albany Career Center,2023,2023,84,31,1,1
Oracle Java and Python Developer,Female,2023,2023-05-02,May,MassAbility,2023-05-20,2023-06-05,2023-07-31,Training Completed,SEO,RJ,5865.76,Admitted,5865.76,Yes,"$25,000-$49,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2022,2023,56,34,1,1
CompTIA-Cybersecurity Specialist,Female,2024,2024-03-13,March,WIOA - PA,2024-03-30,2024-04-15,2024-07-08,Training Completed,Phone call,TP,6644.76,Admitted,6644.76,,,,PA,,,Course Completion certificate,Pittsburgh Career Center,2023,2024,84,33,1,0
Python with Cloud Computing,Female,2025,2025-02-11,March,VRRAP,2025-03-01,2025-03-17,2025-07-07,Training Completed,Masshire Website,TP,8474.01,Admitted,8474.01,Yes,"$125,000-$149,999",Web Developer,VA,Evergreen Analytics,,Course Completion certificate,Veteran Affairs,2024,2025,112,34,1,1
Microsoft office with Website Design_USA,Female,2024,2023-12-25,January,WIOA - MA,2024-01-05,2024-01-15,2024-04-22,Training Completed,Phone call,JW,5280.32,Admitted,5280.32,Yes,"$75,000-$99,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2023,2023,98,21,1,1
Software QA Automation,Female,2018,2018-04-30,May,VRRAP,2018-05-19,2018-06-04,2018-09-10,Training Completed,VRRAP,ML,10176.63,Admitted,10176.63,Yes,"$50,000-$74,999",Data Analyst,MA,Evergreen Analytics,,Course Completion certificate,Veteran Affairs,2017,2018,98,35,1,1
AWS Solution and DevOps,Male,2025,2025-01-24,February,VRRAP,2025-02-16,2025-03-03,2025-06-09,Training Completed,VRRAP,ML,6336.24,Admitted,6336.24,Yes,"$50,000-$74,999",Software Developer,VA,Harbor Systems,,Course Completion certificate,Veteran Affairs,2024,2024,98,38,1,1
OLD 2022_Automation Testing with AWS DevOps,Male,2019,2019-11-12,December,VRRAP,2019-12-07,2019-12-16,2020-07-27,Training Completed,Masshire Website,CB,7025.29,Admitted,7025.29,,,,VA,,,Course Completion certificate,Veteran Affairs,2019,2020,224,34,1,0
Web development and Cloud computing with Azure,Male,2023,2023-03-29,April,WIOA - VA,2023-04-17,2023-05-01,2023-08-21,Training Completed,Phone call,AD,7681.61,Admitted,7681.61,,,,VA,,,Course Completion certificate,Richmond Career Center,2022,2023,112,33,1,0
Data Scientist,Female,2026,2026-07-11,August,WIOA - NH,2026-08-04,2026-08-17,2027-02-01,Training Completed,Email,AD,6049.18,Admitted,6049.18,Yes,"$75,000-$99,999",Software Developer,NH,Northstar Technology,,Course Completion certificate,Nashua Career Center,2026,2026,168,37,1,1
Salesforce Admin with Agile,Female,2019,2019-06-27,July,WIOA - MA,2019-07-05,2019-07-15,2019-10-21,Training Completed,Google search,RJ,5544.57,Admitted,5544.57,Yes,"$125,000-$149,999",Software Developer,MA,Harbor Systems,,Course Completion certificate,Medford Career Center,2019,2019,98,18,1,1
Cloud Technologies,Male,2019,2019-03-28,April,WIOA - MA,2019-04-07,2019-04-15,2019-09-02,Training Completed,Don't know,CB,5763.1,Admitted,5763.1,No,,,MA,,,"cert 2,cert 3,Course Certificate,Course Completion certificate",Medford Career Center,2018,2019,140,18,1,0
Salesforce Developer with Cloud Computing,Female,2018,2018-05-07,May,WIOA - NH,2018-05-25,2018-06-18,2018-10-08,Training Completed,Masshire Website,CB,6906.85,Did not join,6906.85,Yes,"$125,000-$149,999",Technical Support Specialist,NH,Vertex Consulting,,Course Completion certificate,Nashua Career Center,2017,2018,112,42,1,1
CompTIA-IT Support Specialist,Male,2026,2026-06-16,July,WIOA - NH,2026-07-07,2026-07-20,2026-11-09,Training Completed,Training,ML,5385.96,Admitted,5385.96,Yes,"$125,000-$149,999",Business Analyst,NH,Blue River Solutions,,Course Completion certificate,Manchester Career Center,2026,2026,112,34,1,1
Data Science with Tableau,Male,2020,2020-10-27,November,VRRAP,2020-11-08,2020-11-16,2021-03-08,Training Completed,Don't know,ML,6340.49,Admitted,6340.49,Yes,"$125,000-$149,999",SQL Developer,MA,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2020,2020,112,20,1,1
Cloud Technologies,Female,2024,2024-06-06,June,WIOA - VT,2024-06-25,2024-07-15,2024-12-02,Training Completed,Email,JW,5763.1,Admitted,5763.1,Yes,"$75,000-$99,999",Web Developer,VT,Harbor Systems,,Course Completion certificate,Rutland Career Center,2024,2024,140,39,1,1
Data Analytics with Automation QA,Female,2017,2017-01-01,January,WIOA - VT,2017-01-18,2017-02-06,2017-05-01,Training Completed,Masshire Website,ML,5511.27,Admitted,5511.27,Yes,"$100,000-$124,999",Cloud Support Specialist,VT,Pioneer Digital,,Course Completion certificate,Rutland Career Center,2016,2016,84,36,1,1
Data Science with Tableau,Male,2018,2018-05-01,May,WIOA - ME,2018-05-18,2018-05-21,2018-09-10,Training Completed,Training,JW,6340.49,Done with training,6340.49,Yes,"$100,000-$124,999",SQL Developer,ME,Harbor Systems,,Course Completion certificate,Portland Career Center,2017,2018,112,20,1,1
 Cybersecurity with Cloud Technologies,Male,2017,2017-02-22,March,WIOA - FL,2017-03-05,2017-03-20,2017-05-15,Training Completed,Phone call,RJ,8012.87,Admitted,8012.87,Yes,"$50,000-$74,999",Technical Support Specialist,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2016,2016,56,26,1,1
Automation Quality Assurance - 2,Male,2024,2024-10-02,October,Section 30,2024-10-12,2024-11-04,2025-02-24,Training Completed,Career Center Reference - Email,AM,6373.12,Done with training,6373.12,Yes,"$125,000-$149,999",Technical Support Specialist,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2024,2024,112,33,1,1
CompTIA-IT Support Specialist,Male,2017,2017-08-01,August,WIOA - NH,2017-08-12,2017-09-04,2017-12-25,Training Completed,Phone call,AM,5385.96,Admitted,5385.96,Yes,"$125,000-$149,999",Technical Support Specialist,NH,Harbor Systems,,Course Completion certificate,Manchester Career Center,2017,2017,112,34,1,1
